,node,degree,betweenness,eigenvector
0,Donald Trump,0.16304347826086957,0.011801242236024845,0.2629740699317783
1,Hillary Clinton,0.15217391304347827,0.006564398334584669,0.23933244895339587
2,Ted Cruz,0.07608695652173914,3.981525720656155e-05,0.17897309594093153
3,Bernie Sanders,0.043478260869565216,0.0,0.11730287800945602
4,Clinton,0.7934782608695652,0.7326115395991173,0.5396411017194012
5,Trump,0.18478260869565216,0.020877983300343586,0.2827424498442827
6,Cruz,0.17391304347826086,0.034759288330716884,0.25229399806681313
7,Hillary,0.08695652173913043,0.001475439674197438,0.14466505551643447
8,Kasich,0.07608695652173914,0.0,0.15761254856630183
9,John Kasich,0.021739130434782608,0.0,0.07012705439011103
10,Obama,0.07608695652173914,0.0,0.15635334780621502
11,Bush,0.22826086956521738,0.08769367278684047,0.28464303308735295
12,George W. Bush,0.021739130434782608,0.0,0.07299160437341534
13,Reagan,0.03260869565217391,0.0,0.05242890970682765
14,Richard Nixon,0.010869565217391304,0.0,0.04778629197582399
15,Bill Clinton,0.03260869565217391,0.0,0.07759306062318752
16,Bill,0.010869565217391304,0.0,0.04778629197582399
17,John McCain,0.010869565217391304,0.0,0.04778629197582399
18,Jeb Bush,0.05434782608695652,0.0,0.1436558969607181
19,Barack Obama,0.021739130434782608,0.0,0.06897934783644033
20,McConnell,0.03260869565217391,0.0,0.0008351121822483834
21,Joe Biden,0.010869565217391304,0.0,0.04778629197582399
22,Elizabeth Warren,0.010869565217391304,0.0,0.04778629197582399
23,Paul Ryan,0.021739130434782608,0.0,0.055412012780749156
24,Ryan,0.06521739130434782,0.07566889632107023,0.08611697149409278
25,Marco Rubio,0.06521739130434782,0.0,0.15950403769619606
26,Romney,0.05434782608695652,0.0,0.10755244725018208
27,Hillary Rodham Clinton,0.010869565217391304,0.0,0.04778629197582399
28,Biden,0.010869565217391304,0.0,0.04778629197582399
29,Warren,0.010869565217391304,0.0,0.04778629197582399
30,Boehner,0.06521739130434782,0.058050645007166744,0.008595636485588455
31,John Boehner,0.010869565217391304,0.0,0.0007611618143841027
32,Sanders,0.010869565217391304,0.0,0.04778629197582399
33,Hillary Clinton's,0.010869565217391304,0.0,0.04778629197582399
34,Donald Trump's,0.010869565217391304,0.0,0.04778629197582399
35,Mateen,0.021739130434782608,0.0,2.6491368617845226e-17
36,Paul,0.05434782608695652,0.019589106545628284,0.05261798586679543
37,Rand Paul,0.010869565217391304,0.0,0.004659330162166567
38,Stevens,0.010869565217391304,0.0,0.04778629197582399
39,Ben Carson,0.03260869565217391,0.0,0.09533236678770239
40,Carson,0.05434782608695652,0.0,0.0796347748079652
41,Jeb,0.010869565217391304,0.0,0.02520531239759135
42,Chris Christie,0.021739130434782608,0.0,0.07299160437341534
43,Johnson,0.03260869565217391,0.0,0.05242890970682765
44,Wasserman Schultz,0.010869565217391304,0.0,0.04778629197582399
45,Fiorina,0.043478260869565216,0.0,0.050060101316119786
46,Bernie,0.010869565217391304,0.0,0.04778629197582399
47,Clintons,0.06521739130434782,7.96305144131231e-05,0.09727416996216005
48,Whitewater,0.010869565217391304,0.0,0.04778629197582399
49,Monica Lewinsky,0.010869565217391304,0.0,0.04778629197582399
50,Lewinsky,0.010869565217391304,0.0,0.04778629197582399
51,Osama bin Laden,0.010869565217391304,0.0,0.04778629197582399
52,Blackberry,0.010869565217391304,0.0,0.04778629197582399
53,Scalia,0.021739130434782608,0.0,2.6491368617845226e-17
54,Robby Mook,0.010869565217391304,0.0,0.04778629197582399
55,Politico,0.010869565217391304,0.0,0.04778629197582399
56,Kennedy,0.010869565217391304,0.0,0.04778629197582399
57,Tim Kaine,0.010869565217391304,0.0,0.04778629197582399
58,Kaine,0.010869565217391304,0.0,0.04778629197582399
59,Netanyahu,0.021739130434782608,0.0,2.6491368617845226e-17
60,John Podesta,0.010869565217391304,0.0,0.04778629197582399
61,Comey,0.010869565217391304,0.0,0.04778629197582399
62,Michelle Obama,0.010869565217391304,0.0,0.04778629197582399
63,Mike Pence,0.010869565217391304,0.0,0.04778629197582399
64,Al Gore,0.010869565217391304,0.0,0.04778629197582399
65,Vladimir Putin,0.010869565217391304,0.0,0.04778629197582399
66,Christopher Stevens,0.010869565217391304,0.0,0.04778629197582399
67,Sidney Blumenthal,0.010869565217391304,0.0,0.04778629197582399
68,Martin O'Malley,0.010869565217391304,0.0,0.04778629197582399
69,Jim Webb,0.010869565217391304,0.0,0.04778629197582399
70,Putin,0.021739130434782608,0.0,2.6491368617845226e-17
71,Francis,0.021739130434782608,0.0,2.6491368617845226e-17
72,McCarthy,0.010869565217391304,0.0,0.0007611618143841027
73,Davis,0.021739130434782608,0.0,2.6491368617845226e-17
74,Rodham,0.010869565217391304,0.0,0.04778629197582399
75,BlackBerry,0.010869565217391304,0.0,0.04778629197582399
76,Sullivan,0.010869565217391304,0.0,0.04778629197582399
77,Pagliano,0.010869565217391304,0.0,0.04778629197582399
78,Abedin,0.05434782608695652,0.019589106545628284,0.06706060770810877
79,Powell,0.010869565217391304,0.0,0.04778629197582399
80,Marco,0.010869565217391304,0.0,0.02520531239759135
81,Gowdy,0.010869565217391304,0.0,0.04778629197582399
82,Blumenthal,0.010869565217391304,0.0,0.04778629197582399
83,Bannon,0.010869565217391304,0.0,0.04778629197582399
84,Williams,0.010869565217391304,0.0,0.04778629197582399
85,Gore,0.010869565217391304,0.0,0.04778629197582399
86,Murphy,0.010869565217391304,0.0,0.02520531239759135
87,Tai,0.021739130434782608,0.0,2.6491368617845226e-17
88,Jordan,0.010869565217391304,0.0,0.04778629197582399
89,Hillary Rodham,0.010869565217391304,0.0,0.04778629197582399
90,Huma,0.010869565217391304,0.0,0.0059382727658630965
91,Bergdahl,0.021739130434782608,0.0,2.6491368617845226e-17
92,Buckley,0.021739130434782608,0.0,2.6491368617845226e-17
