,node,degree,betweenness,eigenvector
0,Kerry,0.010101010101010102,0.0,0.017772600868046343
1,Obama,0.21212121212121213,0.1048254878496066,0.23631201043222327
2,Donald Trump,0.15151515151515152,0.0026455026455026454,0.22821796635836578
3,Hillary Clinton,0.15151515151515152,0.0026815999914330153,0.2226509946747892
4,Trump,0.4141414141414142,0.1559565082756176,0.3615149589788679
5,Ted Cruz,0.09090909090909091,0.0002061430632859204,0.1784692660656614
6,Bernie Sanders,0.04040404040404041,0.0,0.09709157168657391
7,Clinton,0.8080808080808082,0.708718156027989,0.47048215351573835
8,Cruz,0.15151515151515152,0.005012221338751952,0.22310350804434514
9,Hillary,0.11111111111111112,0.0054137987347634845,0.14394076388907384
10,John Kasich,0.04040404040404041,0.0,0.09670126415079999
11,Bush,0.22222222222222224,0.060709890672784914,0.2536757967524109
12,George W. Bush,0.030303030303030304,0.0,0.08165230002967942
13,Reagan,0.020202020202020204,0.0,0.06257379576941059
14,Bill Clinton,0.05050505050505051,0.00023960784628688155,0.10429462352498739
15,Bill,0.010101010101010102,0.0,0.035384716258180016
16,Donald Trump’s,0.020202020202020204,0.0,0.06257379576941059
17,John McCain,0.020202020202020204,0.0,0.06257379576941059
18,Barack Obama,0.05050505050505051,0.0,0.11425542461916828
19,Jeb Bush,0.06060606060606061,0.0,0.13294362134366317
20,Biden,0.04040404040404041,0.0,0.05748028693394779
21,McConnell,0.030303030303030304,0.0,0.019217947310865797
22,Ryan,0.06060606060606061,6.871435442864013e-05,0.09187290309052937
23,Paul Ryan,0.030303030303030304,0.0,0.06948336659689183
24,Joe Biden,0.010101010101010102,0.0,0.035384716258180016
25,Elizabeth Warren,0.010101010101010102,0.0,0.035384716258180016
26,Rubio,0.17171717171717174,0.01821006245867099,0.23067030159982838
27,Marco Rubio,0.07070707070707072,0.0,0.14636592720231625
28,Mitt Romney,0.04040404040404041,0.0,0.08883593709409589
29,Romney,0.06060606060606061,0.0,0.09551708734987073
30,Hillary Rodham Clinton,0.010101010101010102,0.0,0.035384716258180016
31,Sanders,0.010101010101010102,0.0,0.035384716258180016
32,Hillary Clinton's,0.010101010101010102,0.0,0.035384716258180016
33,Donald Trump's,0.020202020202020204,0.0,0.06257379576941059
34,Hillary Clinton’s,0.010101010101010102,0.0,0.035384716258180016
35,Stevens,0.010101010101010102,0.0,0.035384716258180016
36,Ben Carson,0.04040404040404041,0.0,0.0984314930184139
37,Carson,0.06060606060606061,0.0,0.08693310646729469
38,Lewandowski,0.010101010101010102,0.0,0.02718907951123058
39,Jeb,0.030303030303030304,0.0,0.06361585916415428
40,Chris Christie,0.04040404040404041,0.0,0.09900057542233431
41,Johnson,0.05050505050505051,0.019171304885590598,0.06807893695825473
42,Bernie,0.020202020202020204,0.0,0.04621024098067066
43,Clintons,0.07070707070707072,4.1228612657184085e-05,0.09577484300367899
44,Whitewater,0.010101010101010102,0.0,0.035384716258180016
45,Monica Lewinsky,0.010101010101010102,0.0,0.035384716258180016
46,Lewinsky,0.010101010101010102,0.0,0.035384716258180016
47,Osama bin Laden,0.010101010101010102,0.0,0.035384716258180016
48,Antonin Scalia,0.010101010101010102,0.0,0.001454240741372015
49,Scalia,0.04040404040404041,0.019171304885590598,0.019336211543855193
50,Robby Mook,0.010101010101010102,0.0,0.035384716258180016
51,Kennedy,0.010101010101010102,0.0,0.035384716258180016
52,Gary Johnson,0.010101010101010102,0.0,0.035384716258180016
53,Tim Kaine,0.010101010101010102,0.0,0.035384716258180016
54,Kaine,0.020202020202020204,0.0,0.06257379576941059
55,Richard Nixon,0.010101010101010102,0.0,0.035384716258180016
56,Netanyahu,0.030303030303030304,0.0,0.019217947310865797
57,Chelsea,0.010101010101010102,0.0,0.035384716258180016
58,Stein,0.010101010101010102,0.0,0.005120060001483564
59,McMullin,0.020202020202020204,0.0,0.06257379576941059
60,McCain,0.030303030303030304,0.0,0.02940019998863001
61,John Podesta,0.010101010101010102,0.0,0.035384716258180016
62,Latinos,0.010101010101010102,0.0,0.035384716258180016
63,Michelle Obama,0.010101010101010102,0.0,0.035384716258180016
64,Donald,0.020202020202020204,0.0,0.06257379576941059
65,Mike Pence,0.020202020202020204,0.0,0.06257379576941059
66,Khan,0.010101010101010102,0.0,0.02718907951123058
67,Al Gore,0.010101010101010102,0.0,0.035384716258180016
68,Gray,0.020202020202020204,0.0,6.265148607493202e-17
69,Vladimir Putin,0.010101010101010102,0.0,0.035384716258180016
70,Putin,0.04040404040404041,0.0,0.04861814729949575
71,Christopher Stevens,0.010101010101010102,0.0,0.035384716258180016
72,anti-Trump,0.020202020202020204,0.0,0.06257379576941059
73,Sidney Blumenthal,0.010101010101010102,0.0,0.035384716258180016
74,Bill Clinton’s,0.010101010101010102,0.0,0.035384716258180016
75,Martin O'Malley,0.010101010101010102,0.0,0.035384716258180016
76,Jim Webb,0.010101010101010102,0.0,0.035384716258180016
77,Francis,0.020202020202020204,0.0,6.265148607493202e-17
