,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
15644,A Collection of Essays,George Orwell,"Writing, Essays, Nonfiction, Classics, Politics, Literature, Philosophy",-0.232259612538727,1.1807160043307243,1.0
4480,Animal Farm / 1984,"George Orwell, Christopher Hitchens","Classics, Fiction, Science Fiction, Dystopia, Literature, Science Fiction",0.3016234312396565,1.0687990706110126,0.9189596443618695
74,Animal Farm,George Orwell,"Classics, Fiction, Science Fiction, Dystopia, Fantasy, Literature",8.494480623528016,-0.3115097785987543,0.9107121854931369
40,Nineteen Eighty-Four,George Orwell,"Classics, Fiction, Science Fiction, Science Fiction, Dystopia",9.222781042605547,0.658436980305408,0.8405284867057712
2349,Down and Out in Paris and London,George Orwell,"Nonfiction, Classics, Biography, Autobiography, Memoir, Travel",-0.060059691541320424,0.4346031128659843,0.8336835594792253
6937,Keep the Aspidistra Flying,George Orwell,"Fiction, Classics, European Literature, British Literature, Literature",-0.19440750866505144,-0.3861210677452283,0.778571778323198
14854,Shooting an Elephant,George Orwell,"Nonfiction, Classics, Short Stories, Writing, Essays, Politics",-0.21891429446333474,0.5092144020124599,0.7247096122937923
3794,Homage to Catalonia,"George Orwell, Lionel Trilling","History, Nonfiction, Politics, Classics, War, Autobiography, Memoir",-0.1231882028938567,0.5838256911589323,0.6990491671271591
9078,Coming Up for Air,George Orwell,"Fiction, Classics, Novels",-0.2076356254692898,-0.7218718689043606,0.6568642985546732
8029,The Road to Wigan Pier,"George Orwell, Richard Hoggart","Nonfiction, History, Classics, Politics, Sociology",-0.2009160859231321,-0.3488154231719905,0.6183259451585288
5971,Burmese Days,George Orwell,"Fiction, Classics, Historical, Historical Fiction, Literature, Cultural, Asia",-0.1772375224410031,-0.5353436460381764,0.5984364930722275
0,The Hunger Games,Suzanne Collins,"Young Adult, Fiction, Science Fiction, Dystopia, Fantasy, Science Fiction",21.3298442480025,1.2926329380504364,0.4591477898215361
