,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
20955,"The Iron Fey Boxed Set: The Iron King, The Iron Daughter, The Iron Queen, The Iron Knight",Julie Kagawa,"Fantasy, Young Adult, Romance, Fantasy, Magic, Paranormal, Fairies",-0.23528731204353645,2.0760514740884126,1.0
3237,King of Thorns,Mark  Lawrence,"Fantasy, Fiction, Fantasy, Dark Fantasy, Fantasy, Epic Fantasy",-0.06511497303709257,0.8076595585983559,0.8882314392945931
11603,Treason,Orson Scott Card,"Science Fiction, Fiction, Fantasy",-0.2193049653671811,-0.3115097785987543,0.8856869628765267
6151,Malice,John Gwynne,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.2024592359933253,0.5092144020124599,0.8829934156252481
10134,The Iron Legends,Julie Kagawa,"Fantasy, Young Adult, Romance, Paranormal, Fairies, Fantasy, Paranormal",-0.21260495936621573,1.0687990706110126,0.8807190935798268
102,The Name of the Wind,Patrick Rothfuss,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.8923533108123007,2.113357118661649,0.8739155423034912
9735,The Iron Man: [A Children's Story In Five Nights],Ted Hughes,"Childrens, Fiction, Science Fiction, Fantasy",-0.21612099750083316,-0.1995928448790424,0.8738871650507639
20528,Kings or Pawns,J.J. Sherwood,"Fantasy, Fantasy, Magic, Fiction, Adventure",-0.2443235300495032,1.4418555163433844,0.8735122868345881
771,Words of Radiance,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Audiobook, Fantasy, Magic, Epic, Science Fiction Fantasy, Adult, Adventure",0.30688186160542874,2.934081299272861,0.8726170586926806
14698,Black Wolves,Kate Elliott,"Fantasy, Fiction, Fantasy, Epic Fantasy, Adult, Fantasy, High Fantasy, Science Fiction Fantasy",-0.2399128555450776,-0.08767591115933222,0.8722374451503154
0,The Hunger Games,Suzanne Collins,"Young Adult, Fiction, Science Fiction, Dystopia, Fantasy, Science Fiction",21.3298442480025,1.2926329380504364,0.8716788845475404
12428,Magician's End,Raymond E. Feist,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.22261394792275996,0.9941877814645405,0.8707321908224128
12725,The Measure of the Magic,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2179610574579496,0.1361579562800882,0.8702823440979298
1234,The Iron Trial,"Holly Black, Cassandra Clare","Fantasy, Childrens, Middle Grade, Young Adult, Fantasy, Magic",-0.04624947509035097,-0.16228720030580626,0.8686261047631049
14361,The Ables,Jeremy  Scott,"Fantasy, Young Adult, Fiction, Science Fiction, Audiobook, Comics, Superheroes",-0.2379985681162303,-0.4980380014649386,0.865603065165848
19579,The Bloody Crown of Conan,"Robert E. Howard, Gary Gianni, Patrice Louinet","Fiction, Heroic Fantasy, Sword and Sorcery, Pulp, Adventure, Short Stories",-0.2300992024404565,1.1434103597574885,0.8645012478230325
9317,Valor,John Gwynne,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy, Fantasy, Magic",-0.21593347546698688,1.4045498717701483,0.8644239944397364
3463,Emperor of Thorns,Mark  Lawrence,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction, Fantasy, High Fantasy",-0.10464305508826913,1.0314934260377764,0.864255702357687
4499,Tower Lord,Anthony  Ryan,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.1127221293798122,0.7330482694518804,0.8642206338041798
11,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction",21.5881636630438,1.7776063175025167,0.863982339754299
15036,How to Steal a Dragon's Sword,Cressida Cowell,"Fantasy, Fantasy, Dragons, Childrens, Audiobook",-0.2287162274408404,1.6283837392095686,0.8638487768748829
13983,Lyonesse,Jack Vance,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction, Science Fiction Fantasy",-0.22713791698930103,-0.23689848945228026,0.863052866704769
437,The Way of Kings,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Epic, Fantasy, Magic, Adult, Adventure",0.5715574922523114,2.4864135643940206,0.8607346598847769
17387,Morgawr,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",-0.18878575435870204,-0.05037026658609438,0.8601549721277417
15350,Shadowplay,Tad Williams,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.21883225357352695,-0.3488154231719905,0.8587733034402387
5501,The Blood Mirror,Brent Weeks,"Fantasy, Fantasy, Epic Fantasy, Fiction",-0.16218887922484065,1.2553272934772002,0.858527548544664
16440,The First Law Trilogy,Joe Abercrombie,"Fantasy, Fiction, Science Fiction Fantasy, Fantasy, Epic Fantasy, Fantasy, Dark Fantasy, Adventure, Fantasy, High Fantasy, Fantasy, Magic, War",-0.21906274940679635,1.8895232512222289,0.8584575551523685
9170,The King's Traitor,Jeff Wheeler,"Fantasy, Fiction, Fantasy, Magic, Young Adult",-0.19942372307043893,1.5910780946363323,0.8573345883668366
10056,Dust of Dreams,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.1691271944771523,1.2180216489039608,0.8567448006014818
3335,Best Served Cold,Joe Abercrombie,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, Dark Fantasy",-0.051043007080546016,0.7330482694518804,0.8558093563670548
11856,"The Way of Kings, Part 2",Brandon Sanderson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.2082411653702517,2.971386943846101,0.8557970621735052
13139,Witch Wraith,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.22723949142430105,0.17346360085332768,0.8554892954018775
297,The Wise Man's Fear,Patrick Rothfuss,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.0564504046883592,2.225274052381361,0.8549865384196186
18416,The War of the Dwarves,Markus Heitz,"Fantasy, Fantasy, High Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2275910952377628,0.2480748899998001,0.8544063266289925
19827,Knights of Dark Renown,David Gemmell,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2312751218610341,0.2480748899998001,0.8540686153824076
14596,The Emerald Storm,Michael J. Sullivan,"Fantasy, Fantasy, Epic Fantasy, Fiction, Adventure, Fantasy, High Fantasy",-0.2212192527960284,1.2180216489039608,0.8527170049619222
21633,The Assassin King,Elizabeth Haydon,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2268292869752624,0.3226861791462757,0.8526496133093234
1601,Oathbringer,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.013843323616293894,2.449107919820781,0.8516315620915814
3670,Half the World,Joe Abercrombie,"Fantasy, Young Adult, Fiction, Fantasy, Epic Fantasy",-0.15456688989079778,0.8076595585983559,0.8507643531540634
16934,The Other Lands,David Anthony Durham,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.23128293527911106,-0.6845662243311244,0.8506491334924045
6479,Princeps' Fury,Jim Butcher,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",-0.043799968523234166,1.4045498717701483,0.8505373420361746
5284,Magician,Raymond E. Feist,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",-0.038928302352269836,1.2926329380504364,0.85000861645289
10608,Kushiel's Justice,Jacqueline Carey,"Fantasy, Romance, Fiction, Fantasy, Epic Fantasy",-0.17959326799119674,0.956882136891304,0.8493831328253518
12370,Percepliquis,Michael J. Sullivan,"Fantasy, Fantasy, Epic Fantasy, Fiction, Adventure, Fantasy, High Fantasy",-0.2198245576692968,2.113357118661649,0.8490748312059705
3065,Frozen Tides,"Morgan Rhodes, Michelle Rowen","Fantasy, Young Adult, Fantasy, Magic, Romance, Fantasy, High Fantasy",-0.1862385800656237,1.516466805489857,0.8487932133411278
4,Divergent,Veronica Roth,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy",9.502634237866863,0.8822708477448284,0.8487696704847858
16484,Shadowrise,Tad Williams,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.22373908012583751,0.024241022560379646,0.8486904125575976
1311,Warbreaker,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",0.06848275595125339,0.956882136891304,0.8486242982306655
10667,The Coming of Conan the Cimmerian,"Robert E. Howard, Mark Schultz, Patrice Louinet","Fantasy, Fiction, Heroic Fantasy, Sword and Sorcery, Short Stories, Pulp",-0.20381095732063376,0.6211313357321718,0.8484845999658182
693,Fire,Kristin Cashore,"Fantasy, Young Adult, Romance, Fiction",0.3217664230419758,0.5092144020124599,0.8480556533400047
2442,Theft of Swords,Michael J. Sullivan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Adventure",-0.07534273729979075,0.8822708477448284,0.847703571750535
20382,The Return of the Black Company,Glen Cook,"Fantasy, Fiction, Fantasy, Dark Fantasy, Fantasy, Epic Fantasy",-0.22544631197564616,1.0687990706110126,0.847418578931984
6346,The Providence of Fire,Brian Staveley,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.17714766813311844,0.5838256911589323,0.847381337097625
12018,Rise of the Wolf,Curtis Jobling,"Fantasy, Young Adult, Shapeshifters, Werewolves, Fantasy, Paranormal, Adventure",-0.23069302221430305,0.8449652031715923,0.8471806819947296
78,The Hobbit,"J.R.R. Tolkien, Peter Sís","Fantasy, Classics, Fiction, Adventure, Young Adult, Science Fiction Fantasy, Fantasy, High Fantasy, Childrens, Fantasy, Epic Fantasy, Novels",9.226746352279587,1.0314934260377764,0.8469828434320941
12624,To Green Angel Tower,Tad Williams,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy, Fantasy, High Fantasy",-0.13421684250943994,0.6957426248786442,0.8468714939509691
1799,The Hundred Thousand Kingdoms,N.K. Jemisin,"Fantasy, Fiction, Romance, Fantasy, High Fantasy, Fantasy, Epic Fantasy",-0.09304403595307016,-0.5726492906114126,0.8468318600524315
3259,Promise of Blood,Brian  McClellan,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Science Fiction, Steampunk",-0.12412190635404953,0.658436980305408,0.8466347204327649
7000,Midnight Tides,Steven Erikson,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.14040897633540506,1.3672442271969087,0.846589248055076
9191,The Thief's Daughter,Jeff Wheeler,"Fantasy, Fiction, Young Adult, Fantasy, Magic",-0.19629054242159094,1.1807160043307243,0.8464468909270422
14911,Sword in the Storm,David Gemmell,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, Heroic Fantasy",-0.21081568662659933,0.9941877814645405,0.8464059064218159
19081,Prince of Dogs,Kate Elliott,"Fantasy, Fantasy, Epic Fantasy, Fiction, Science Fiction Fantasy",-0.21946514043775814,-0.3488154231719905,0.8459714679628436
3788,The Gray Wolf Throne,Cinda Williams Chima,"Fantasy, Young Adult, Fantasy, Magic, Romance, Fantasy, High Fantasy",-0.09627097761884124,1.516466805489857,0.8458816726239697
18215,Hades' Daughter,Sara Douglass,"Fantasy, Science Fiction Fantasy, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Adult",-0.2318064342902652,-0.3861210677452283,0.8456468795503918
2130,Furies of Calderon,Jim Butcher,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy",0.0788472550302978,0.5465200465856962,0.845494037742944
22525,Child of Flame,Kate Elliott,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",-0.22745436042141656,-0.5353436460381764,0.8453680681179873
14197,Immortal Fire,Annette Marie,"Fantasy, Young Adult, Romance, Fantasy, Mythology, Fantasy, Magic, Fantasy, Urban Fantasy",-0.23909244664700016,2.7475530764066773,0.8453626170636475
3883,Crossroads of Twilight,Robert Jordan,"Fantasy, Fiction, Fantasy, Epic Fantasy",0.050207171069319816,-0.6099549351846504,0.8449353605548096
9376,A Dance of Cloaks,David Dalglish,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.20129503669986307,-0.9457057363437826,0.8448797083243947
15030,The Darkling Child,Terry Brooks,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.2341309261681512,-0.1995928448790424,0.8442108120335431
