,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
235,A Storm of Swords,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",2.0077223354271747,2.0760514740884126,1.0
236,Tormenta de espadas,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",2.007437145667367,2.0760514740884126,0.6612630355548829
4653,A Game of Thrones: The First 5 Books,George R.R. Martin,"Fantasy, Fiction",-0.08054256702998604,2.449107919820781,0.44520655929607456
216,A Clash of Kings,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy",2.3812740402670047,1.5910780946363323,0.3666152137068064
6341,A Dance with Dragons 2: After the Feast,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.16845914723157498,1.6283837392095686,0.34738053383626943
4451,The World of Ice and Fire: The Untold History of Westeros and the Game of Thrones,"George R.R. Martin, Elio M. García Jr., Linda Antonsson","Fantasy, Fiction, Fantasy, Epic Fantasy",-0.16940066410984475,1.0687990706110126,0.3131560744263481
229,A Dance with Dragons,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.5989985291140554,1.2553272934772002,0.310653759156334
3999,A Storm of Swords: Steel and Snow,George R.R. Martin,"Fantasy, Fiction",-0.016222509420718338,1.8895232512222289,0.3098506474195756
3450,A Storm of Swords: Blood and Gold,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy",0.029458639366038663,2.150662763234885,0.30546436240479136
7474,A Dance with Dragons: Dreams and Dust,George R.R. Martin,"Fantasy, Adult, Fantasy, Dragons, Fiction, Adventure",-0.1670878923590742,1.3299385826236725,0.29733425005146
19706,Inside Straight,George R.R. Martin,"Science Fiction, Comics, Superheroes, Fiction, Fantasy",-0.239705799966039,-0.9830113809170188,0.2939488238268334
252,A Feast for Crows,George R.R. Martin,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.834319148045921,0.5092144020124599,0.28845056827877635
12926,"Dreamsongs, Volume I",George R.R. Martin,"Fantasy, Short Stories, Science Fiction, Fiction, Horror, Anthologies",-0.2296069571016101,-0.16228720030580626,0.28678681262605815
2100,A Knight of the Seven Kingdoms,"George R.R. Martin, Gary Gianni","Fantasy, Fiction, Short Stories, Audiobook",-0.08023784372498588,0.8449652031715923,0.27027012681760326
3929,The Ice Dragon,"George R.R. Martin, Yvonne Gilbert","Fantasy, Fantasy, Dragons, Childrens, Young Adult, Fiction, Short Stories",-0.19511852971005186,-0.7591775134775984,0.2653086869185771
13011,The Armageddon Rag,George R.R. Martin,"Fantasy, Fiction, Horror, Science Fiction, Thriller",-0.23245885469968866,-1.4679847603691007,0.2547513880657333
21851,Suicide Kings,George R.R. Martin,"Science Fiction, Fantasy, Comics, Superheroes, Fiction",-0.2417997960106556,-0.23689848945228026,0.2545139073432038
8197,Tuf Voyaging,George R.R. Martin,"Science Fiction, Fiction, Fantasy, Short Stories",-0.2144215790691014,0.3972974682927481,0.24134911401126144
11017,Dying of the Light,George R.R. Martin,"Science Fiction, Fantasy, Fiction",-0.22714182369833946,-1.5425960495155748,0.24125983538794088
19368,A Song for Lya: And Other Stories,George R.R. Martin,"Science Fiction, Fantasy, Short Stories, Fiction",-0.2392916888079618,-0.08767591115933222,0.22828443325986914
4004,Fevre Dream,George R.R. Martin,"Fantasy, Horror, Paranormal, Vampires, Fiction, Historical, Historical Fiction",-0.17252603134061578,-0.4980380014649386,0.2227769321356887
21837,Lowball,"George R.R. Martin, Melinda M. Snodgrass","Science Fiction, Fantasy, Fiction, Comics, Superheroes",-0.2432023045554641,-0.6099549351846504,0.20838667547152998
297,The Wise Man's Fear,Patrick Rothfuss,"Fantasy, Fiction, Fantasy, Epic Fantasy",1.0564504046883592,2.225274052381361,0.196115481251942
4643,The Sorcerer of the North,John Flanagan,"Fantasy, Adventure, Fiction, Young Adult",-0.043487431800157066,1.0314934260377764,0.17457956744279957
10159,The King's Blood,Daniel Abraham,"Fantasy, Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",-0.20456495216505727,0.061546667133615826,0.174183025854504
771,Words of Radiance,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Audiobook, Fantasy, Magic, Epic, Science Fiction Fantasy, Adult, Adventure",0.30688186160542874,2.934081299272861,0.17032456741515523
