,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
2319,Gerald's Game,Stephen King,"Fiction, Horror, Thriller",0.20520194546133189,-1.8410412061014692,1.0
1574,Duma Key,Stephen King,"Horror, Fiction",0.09711111978511598,-0.16228720030580626,0.9998103185518203
1294,The Green Mile,Stephen King,"Horror, Fiction, Fantasy, Thriller",0.5812773843400093,1.6656893837828048,0.9947952135654623
2136,The Eyes of the Dragon,Stephen King,"Fantasy, Fiction, Horror",0.10384628616742754,-0.1995928448790424,0.990650978633036
12965,Storm of the Century: An Original Screenplay,Stephen King,"Horror, Fiction",-0.1753193283031174,-0.3115097785987543,0.9809285625552844
1111,The Drawing of the Three,Stephen King,"Fantasy, Fiction, Horror, Science Fiction",0.4661662025216741,0.919576492318068,0.9794680765659516
311,The Shining,Stephen King,"Horror, Fiction, Thriller",3.3401796804669783,0.7703539140251199,0.9724525189583928
1573,The Dark Tower,Stephen King,"Fantasy, Fiction, Horror",0.2267630726446135,1.1061047151842522,0.9719369200137022
402,Doctor Sleep,Stephen King,"Horror, Fiction, Thriller, Fantasy",0.2758078979134878,0.4346031128659843,0.9666932677272775
3962,Hearts in Atlantis,Stephen King,"Horror, Fiction, Fantasy",0.054051372763168175,-0.6472605797578865,0.9574440721504298
19979,Carrie / 'Salem's Lot / The Shining,Stephen King,"Horror, Fiction",-0.19048517279043375,2.113357118661649,0.9542322345703647
363,The Gunslinger,Stephen King,"Fantasy, Fiction, Horror, Science Fiction",1.4509420699743552,-0.05037026658609438,0.9502676134520949
968,'Salem's Lot,Stephen King,"Horror, Fiction, Paranormal, Vampires, Fantasy",0.8282517163336127,0.061546667133615826,0.9499584086251376
19654,"The Dark Tower, Books 1-3: The Gunslinger, The Drawing of the Three, and The Waste Lands",Stephen King,"Fantasy, Fiction, Horror, Science Fiction",-0.2160389566110254,1.8149119620757532,0.9310958930187869
374,The Stand,Stephen King,"Horror, Fiction, Fantasy, Science Fiction, Apocalyptic, Post Apocalyptic",1.8026865249614799,1.3299385826236725,0.9309910118222844
2342,LISEY'S STORY.,Stephen King,"Horror, Fiction, Fantasy",-0.009670958363214577,-1.206845248356441,0.9240780465919296
1425,Cell,Stephen King,"Horror, Fiction, Horror, Zombies, Thriller",0.4161486067022223,-1.2441508929296787,0.921746837643413
1039,Pet Sematary,Stephen King,"Horror, Fiction, Thriller, Fantasy, Fantasy, Paranormal, Fantasy, Supernatural, Suspense, Adult, Horror, Zombies, Mystery",1.014011824403527,-0.1995928448790424,0.915112417674848
1630,The Wind Through the Keyhole,"Stephen King, Jae Lee","Fantasy, Fiction, Horror",-0.030153833851880182,0.6211313357321718,0.9054141163352236
440,Under the Dome,Stephen King,"Horror, Fiction, Science Fiction, Thriller",0.6272398161775358,-0.3115097785987543,0.9009329046401677
3122,Just After Sunset,Stephen King,"Horror, Short Stories, Fiction",-0.08062851462883225,-0.4607323568917023,0.8981708951878058
373,Mahşer,Stephen King,"Horror, Fiction, Fantasy, Science Fiction, Apocalyptic, Post Apocalyptic",1.803022501938788,1.3299385826236725,0.8893763415744855
651,Carrie,Stephen King,"Horror, Fiction, Thriller, Fantasy, Paranormal",1.3943065090437454,-0.16228720030580626,0.8858694630621693
5608,Four Past Midnight,Stephen King,"Horror, Fiction, Short Stories",0.09976768193127136,-0.2742041340255165,0.8797453803740627
4847,Black House,"Stephen King, Peter Straub","Horror, Fantasy, Fiction",-0.055113797898625284,0.061546667133615826,0.8747579965909047
2187,Cujo,Stephen King,"Horror, Fiction, Thriller",0.4933451773022666,-1.1322339592099668,0.8736396389689911
1610,The Waste Lands,"Stephen King, Ned Dameron","Fantasy, Fiction, Horror, Science Fiction",0.3622282085533451,0.956882136891304,0.8728797002031476
897,Misery,Stephen King,"Horror, Fiction, Thriller",1.3244545514360129,0.5465200465856962,0.8662308043314693
4602,Skeleton Crew,Stephen King,"Horror, Fiction, Short Stories",0.1350687048028301,-0.16228720030580626,0.8577762208752697
3659,Everything's Eventual: 14 Dark Tales,Stephen King,"Horror, Short Stories, Fiction",0.04947270977008862,-0.1249815557325684,0.8541113124802662
6405,Rita Hayworth and Shawshank Redemption: A Story from Different Seasons,Stephen King,"Fiction, Short Stories, Horror, Audiobook",-0.183292921450622,2.0014401849419365,0.8470748014481633
705,Revival,Stephen King,"Horror, Fiction, Thriller",0.06778345503336837,-0.8337888026240724,0.84667729596107
104,11.22.63,Stephen King,"Fiction, Historical, Historical Fiction, Science Fiction, Science Fiction, Time Travel, Fantasy",1.1038622255791557,1.1807160043307243,0.8450225922207455
105,11/22/1963,Stephen King,"Fiction, Historical, Historical Fiction, Science Fiction, Science Fiction, Time Travel, Fantasy",1.1028503879381937,1.1807160043307243,0.8449973237077009
1522,Wizard and Glass,"Stephen King, Dave McKean","Fantasy, Fiction, Horror, Science Fiction",0.2958766622440763,0.9941877814645405,0.839148403130844
2496,Needful Things,Stephen King,"Horror, Fiction, Thriller",0.44282361601685294,-0.3488154231719905,0.8295461988770105
8805,Apt Pupil,Stephen King,"Horror, Fiction, Thriller, Short Stories",-0.1665487665117662,-0.4980380014649386,0.8282703972687793
6029,Nightmares and Dreamscapes,Stephen King,"Horror, Short Stories, Fiction",0.008999204131603841,-0.23689848945228026,0.8254170935483818
1291,"Full Dark, No Stars",Stephen King,"Horror, Fiction, Short Stories, Thriller",0.0615991346254802,0.2480748899998001,0.821625076829287
3636,Rose Madder,Stephen King,"Horror, Fiction, Thriller",0.0814569366679916,-1.1322339592099668,0.8163528180937418
3260,Firestarter,Stephen King,"Horror, Fiction, Thriller, Science Fiction",0.390942519986054,-0.4607323568917023,0.8119273161151808
2728,The Talisman,"Stephen King, Peter Straub","Horror, Fantasy",0.12742327521455646,0.5465200465856962,0.8070408289646664
13143,"Nightmare At 20,000 Feet: Horror Stories","Richard Matheson, Stephen King","Horror, Short Stories, Fiction, Fantasy, Science Fiction",-0.2192580848587196,0.3972974682927481,0.8065336392849236
4313,The Dark Half,Stephen King,"Horror, Fiction, Thriller",0.17553439702323795,-0.8710944471973087,0.8048408058088168
635,Joyland,Stephen King,"Mystery, Horror, Fiction, Thriller, Mystery, Crime",0.11770728983589705,-0.2742041340255165,0.8018252660885352
431,Mr. Mercedes,Stephen King,"Fiction, Thriller, Horror, Mystery, Mystery, Crime",0.4532115553501282,-0.16228720030580626,0.7995549934493725
5609,"Four Past Midnight (Four Past Midnight, #1-4)",Stephen King,"Horror, Fiction, Short Stories",0.09978721547646367,-0.2742041340255165,0.7977955693203989
5137,Cycle of the Werewolf,"Stephen King, Bernie Wrightson","Horror, Fiction, Fantasy, Shapeshifters, Werewolves",-0.086211201844797,-1.3187621820761528,0.7944646507141562
3882,The Mist,"Stephen King, B. Amato","Horror, Fiction, Thriller, Fantasy, Science Fiction",0.12618875515840192,-0.16228720030580626,0.7907994363952545
1529,Sleeping Beauties,"Stephen King, Owen King","Horror, Fantasy, Fiction, Thriller",-0.1005683575611514,-0.8710944471973087,0.7685471919774394
1950,The Girl Who Loved Tom Gordon,Stephen King,"Horror, Fiction, Thriller",0.1905752268213235,-1.5425960495155748,0.7673655117353713
890,Finders Keepers,Stephen King,"Fiction, Horror, Mystery, Mystery, Crime, Thriller",0.0779526186604896,0.2107692454265639,0.7602678397244873
1895,The Bazaar of Bad Dreams,Stephen King,"Fantasy, Audiobook",-0.1053032889157695,-0.23689848945228026,0.7592858011205699
2937,Night Shift,"Stephen King, John D. MacDonald","Horror, Short Stories, Fiction",0.24652711367020175,-0.013064622012858192,0.7490026945527581
131,A Monster Calls,Patrick Ness,"Fantasy, Young Adult, Fiction, Horror",0.3898369213281687,1.4418555163433844,0.7429516377171981
1112,End of Watch,Stephen King,"Horror, Fiction, Thriller, Mystery, Mystery, Crime, Audiobook",-0.000611300103017064,0.3972974682927481,0.7429323004606647
7795,The Bachman Books,"Richard Bachman, Stephen King","Horror, Fantasy, Suspense, Anthologies",-0.005916610977250879,0.4719087574392238,0.7400055446594618
5946,The Regulators,"Richard Bachman, Stephen King","Horror, Fiction, Thriller",0.0036977999664084883,-1.0949283146367308,0.7394702126471087
11,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré","Fantasy, Young Adult, Fiction",21.5881636630438,1.7776063175025167,0.7350641855047845
0,The Hunger Games,Suzanne Collins,"Young Adult, Fiction, Science Fiction, Dystopia, Fantasy, Science Fiction",21.3298442480025,1.2926329380504364,0.7240619179021731
4699,From a Buick 8,Stephen King,"Horror, Thriller, Science Fiction, Fantasy, Supernatural, Fiction, Mystery, Fantasy, Paranormal, Audiobook, Emergency Services, Police, Suspense",-0.035967016901114285,-2.0648750735408914,0.720553955733046
4945,Blaze,"Richard Bachman, Stephen King","Horror, Fiction, Thriller",-0.11082737549615727,-1.0949283146367308,0.7095084645110952
5213,Rage,"Richard Bachman, Stephen King","Horror, Fiction, Thriller",-0.1392682172961736,-0.7218718689043606,0.7067992474797019
2872,Christine,"Stephen King, Marie Milpois","Horror, Fiction, Thriller",0.41947712280299343,-0.9084000917705448,0.701751709198424
8274,Danse Macabre,Stephen King,"Horror, Nonfiction",-0.15695388911329916,-1.3187621820761528,0.7016823374365488
6686,The Body,"Stephen King, Robin A.H. Waterfield","Horror, Fiction, Short Stories, Young Adult, Coming Of Age",-0.13379491793328585,1.0314934260377764,0.7008881799101978
3468,Dreamcatcher,"Stephen King, William Olivier Desmond, Maria Teresa Marenco","Horror, Fiction, Science Fiction",0.28189845730445284,-1.393373471222627,0.6897089549532096
4,Divergent,Veronica Roth,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy",9.502634237866863,0.8822708477448284,0.6607992645614515
19348,Song for the Basilisk,Patricia A. McKillip,"Fantasy, Fiction, Fantasy, High Fantasy, Science Fiction Fantasy",-0.2358459714360368,-0.013064622012858192,0.66027014267942
10053,Books of Blood: Volumes One to Three,Clive Barker,"Short Stories, Fiction, Fantasy, Horror",-0.15758286926849185,0.6957426248786442,0.6589204736385685
1,The Fault in Our Stars,John Green,"Young Adult, Fiction, Romance, Contemporary",11.024047378970044,0.956882136891304,0.6579709038737325
1063,Odd Thomas,Dean Koontz,"Horror, Fiction, Mystery, Fantasy, Thriller, Fantasy, Paranormal",0.6389286896206193,-0.1249815557325684,0.6563532778870037
1601,Oathbringer,Brandon Sanderson,"Fantasy, Fiction, Fantasy, Epic Fantasy",-0.013843323616293894,2.449107919820781,0.6511023045913336
21437,Inside the Outside,Martin Lastrapes,"Horror, Fiction, Fantasy",-0.2436632962220028,-0.08767591115933222,0.6427361963373281
5317,Abarat,Clive Barker,"Fantasy, Young Adult, Fiction, Horror",-0.15158216418541146,0.3972974682927481,0.6419985323299953
14388,Toothiana: Queen of the Tooth Fairy Armies,William Joyce,"Fantasy, Childrens, Fiction",-0.2356701695293059,0.8822708477448284,0.6412065754651703
9372,"The Way of Kings, Part 1",Brandon Sanderson,"Fantasy, Fiction",-0.1972359660088992,2.561024853540493,0.6404955263156212
