,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
2319,Gerald's Game,Stephen King,"Fiction, Horror, Thriller",0.20520194546133189,-1.8410412061014692,1.0
1573,The Dark Tower,Stephen King,"Fantasy, Fiction, Horror",0.2267630726446135,1.1061047151842522,0.9263700688158208
1111,The Drawing of the Three,Stephen King,"Fantasy, Fiction, Horror, Science Fiction",0.4661662025216741,0.919576492318068,0.9231088621418648
3122,Just After Sunset,Stephen King,"Horror, Short Stories, Fiction",-0.08062851462883225,-0.4607323568917023,0.9134447952619613
402,Doctor Sleep,Stephen King,"Horror, Fiction, Thriller, Fantasy",0.2758078979134878,0.4346031128659843,0.8999517522558285
8274,Danse Macabre,Stephen King,"Horror, Nonfiction",-0.15695388911329916,-1.3187621820761528,0.8958704022505051
19979,Carrie / 'Salem's Lot / The Shining,Stephen King,"Horror, Fiction",-0.19048517279043375,2.113357118661649,0.8847237120549121
3962,Hearts in Atlantis,Stephen King,"Horror, Fiction, Fantasy",0.054051372763168175,-0.6472605797578865,0.8757535440421788
4945,Blaze,"Richard Bachman, Stephen King","Horror, Fiction, Thriller",-0.11082737549615727,-1.0949283146367308,0.8689567435124629
431,Mr. Mercedes,Stephen King,"Fiction, Thriller, Horror, Mystery, Mystery, Crime",0.4532115553501282,-0.16228720030580626,0.8656030280281097
21163,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,Bev Vincent,"Fantasy, Horror, Reference, Fiction",-0.10793250409865562,1.1807160043307243,0.86277449685222
1291,"Full Dark, No Stars",Stephen King,"Horror, Fiction, Short Stories, Thriller",0.0615991346254802,0.2480748899998001,0.8514100918678932
363,The Gunslinger,Stephen King,"Fantasy, Fiction, Horror, Science Fiction",1.4509420699743552,-0.05037026658609438,0.8503115719062078
2187,Cujo,Stephen King,"Horror, Fiction, Thriller",0.4933451773022666,-1.1322339592099668,0.8492587510288165
6595,The Dark Tower: The Gunslinger Born,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King","Sequential Art, Graphic Novels, Fantasy, Sequential Art, Comics, Fiction, Horror",0.02752091168296063,0.8076595585983559,0.8410254493976353
3659,Everything's Eventual: 14 Dark Tales,Stephen King,"Horror, Short Stories, Fiction",0.04947270977008862,-0.1249815557325684,0.8335527995461038
374,The Stand,Stephen King,"Horror, Fiction, Fantasy, Science Fiction, Apocalyptic, Post Apocalyptic",1.8026865249614799,1.3299385826236725,0.8291687154711719
1630,The Wind Through the Keyhole,"Stephen King, Jae Lee","Fantasy, Fiction, Horror",-0.030153833851880182,0.6211313357321718,0.8270565138843978
4602,Skeleton Crew,Stephen King,"Horror, Fiction, Short Stories",0.1350687048028301,-0.16228720030580626,0.8252810061509219
705,Revival,Stephen King,"Horror, Fiction, Thriller",0.06778345503336837,-0.8337888026240724,0.8206466605870382
1425,Cell,Stephen King,"Horror, Fiction, Horror, Zombies, Thriller",0.4161486067022223,-1.2441508929296787,0.8128204453451583
1498,The Long Walk,"Richard Bachman, Stephen King","Horror, Fiction, Science Fiction, Dystopia, Thriller, Science Fiction",0.10750296582742963,0.4719087574392238,0.8087184301340993
1895,The Bazaar of Bad Dreams,Stephen King,"Fantasy, Audiobook",-0.1053032889157695,-0.23689848945228026,0.7988214220704756
12965,Storm of the Century: An Original Screenplay,Stephen King,"Horror, Fiction",-0.1753193283031174,-0.3115097785987543,0.7747487724940785
5608,Four Past Midnight,Stephen King,"Horror, Fiction, Short Stories",0.09976768193127136,-0.2742041340255165,0.760466399508414
289,It,Stephen King,"Horror, Fiction, Fantasy",2.1490319080574483,0.8822708477448284,0.7584570916879969
1112,End of Watch,Stephen King,"Horror, Fiction, Thriller, Mystery, Mystery, Crime, Audiobook",-0.000611300103017064,0.3972974682927481,0.7516280625050682
311,The Shining,Stephen King,"Horror, Fiction, Thriller",3.3401796804669783,0.7703539140251199,0.7435996593856621
8232,Revenge of the Sith,"Matthew Woodring Stover, George Lucas","Media Tie In, Star Wars, Science Fiction, Fiction, Fantasy",-0.19822827010466895,0.5092144020124599,0.7392146663940167
2136,The Eyes of the Dragon,Stephen King,"Fantasy, Fiction, Horror",0.10384628616742754,-0.1995928448790424,0.7377298563894384
