,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
8,Mockingjay,Suzanne Collins,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Science Fiction",7.613045023560778,0.17346360085332768,1.0
10,Catching Fire,Suzanne Collins,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Science Fiction",8.069778377247577,1.1434103597574885,0.9928886603036544
1090,The Hunger Games Trilogy Boxset,Suzanne Collins,"Young Adult, Fiction, Fantasy, Science Fiction, Dystopia, Science Fiction",0.4233447647510726,1.8522176066489924,0.5725806500362778
14407,The World of the Hunger Games,Kate Egan,"Young Adult, Science Fiction, Dystopia",-0.17697577293542605,1.8522176066489924,0.5240630544006226
10634,The Hunger Games Tribute Guide,Emily Seife,"Young Adult, Science Fiction, Dystopia",0.06743575792894509,1.5537724500630965,0.44427692945954284
3863,Gregor and the Prophecy of Bane,Suzanne Collins,"Fantasy, Young Adult, Fiction, Adventure, Childrens, Middle Grade",-0.1067370511328857,0.7330482694518804,0.43042716165264683
4070,Gregor and the Code of Claw,Suzanne Collins,"Fantasy, Fiction, Young Adult, Childrens, Middle Grade",-0.09674759612153383,1.0314934260377764,0.4160059122387527
4893,Gregor and the Curse of the Warmbloods,Suzanne Collins,"Fantasy, Young Adult, Fiction, Adventure, Childrens, Middle Grade",-0.09935337105018917,0.8076595585983559,0.40125891380340134
5847,Gregor and the Marks of Secret,Suzanne Collins,"Fantasy, Young Adult, Fiction, Adventure, Childrens, Middle Grade",-0.1339511862948244,0.8822708477448284,0.40011303423868416
1268,Gregor the Overlander,Suzanne Collins,"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Adventure, Childrens",0.06723260905894497,0.061546667133615826,0.3842941708491699
16,Ready Player One,Ernest Cline,"Science Fiction, Fiction, Young Adult, Science Fiction, Dystopia, Fantasy",2.2781955222871377,1.1434103597574885,0.24909211838936535
4,Divergent,Veronica Roth,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy",9.502634237866863,0.8822708477448284,0.246062547430017
8903,Arena One: Slaverunners,Morgan Rice,"Science Fiction, Dystopia, Young Adult, Apocalyptic, Post Apocalyptic, Fiction, Fantasy",-0.22466106345891496,-2.3633202301267877,0.23158947624689843
17,Ready Player One. Movie Tie-In,Ernest Cline,"Science Fiction, Fiction, Young Adult, Science Fiction, Dystopia, Fantasy",2.27623044764079,1.1434103597574885,0.2277283280042788
29,The Giver,Lois Lowry,"Young Adult, Fiction, Classics, Science Fiction, Dystopia, Science Fiction",5.434523422187989,0.5092144020124599,0.22621394552897167
1137,The Yiddish Policemen's Union,Michael Chabon,"Fiction, Mystery, Science Fiction, Science Fiction, Alternate History, Mystery, Crime",-0.02569627883899301,-1.057622670063493,0.2257047830396658
11816,The Maze Runner Series,James Dashner,"Young Adult, Science Fiction, Fiction, Science Fiction, Dystopia",-0.20297882829544095,0.8076595585983559,0.21530923576567654
15899,"Inheritance Cycle 4-Book Hard Cover Boxed Set (Eragon, Eldest, Brisingr, Inheritance)",Christopher Paolini,"Young Adult, Fantasy, Fantasy, Dragons",-0.21673044411083348,1.8522176066489924,0.2081252832964866
767,Scythe,Neal Shusterman,"Young Adult, Science Fiction, Dystopia, Fantasy, Science Fiction",-0.06578302028266987,1.4045498717701483,0.20780901434075705
5206,Among the Impostors,Margaret Peterson Haddix,"Young Adult, Science Fiction, Dystopia, Science Fiction, Fiction",-0.14473370324098445,0.28538053457303625,0.20514292198929876
3995,Who Fears Death,Nnedi Okorafor,"Fantasy, Fiction, Science Fiction, Cultural, Africa, Science Fiction, Dystopia",-0.1989314777315925,-0.08767591115933222,0.2039609176768842
3469,The Lottery,Shirley Jackson,"Short Stories, Classics, Horror, Fiction, Science Fiction, Dystopia",-0.06665030968920882,0.3972974682927481,0.20324444246402137
2430,The Stone Sky,N.K. Jemisin,"Fantasy, Fiction, Science Fiction, Science Fiction, Dystopia",-0.1441437901761764,1.4791611609166206,0.20279008482909128
42,The Maze Runner,James Dashner,"Young Adult, Science Fiction, Dystopia, Science Fiction",3.1246934233233934,0.17346360085332768,0.20252920828492438
12420,The Quillan Games,D.J. MacHale,"Fantasy, Young Adult, Science Fiction",-0.16710351919522806,0.7703539140251199,0.20040384863274965
1014,The Subtle Knife,Philip Pullman,"Fantasy, Young Adult, Fiction, Childrens, Science Fiction, Adventure, Science Fiction Fantasy, Science Fiction, Steampunk, Audiobook, Fantasy, Magic",0.9268531457554,0.5092144020124599,0.1997403164733071
