,book_title,book_authors,genres,book_rating_count,book_rating,rec_score
19270,Дъблинчани/ Портрет на художника като млад,"James Joyce, Джеймс Джойс, Асен Георгиев Христофоров, Николай Попов","Classics, Fiction, Literature",-0.2216685243354517,-0.1995928448790424,0.9999999999999998
7443,Finnegans Wake,James Joyce,"Fiction, Classics, Literature, Cultural, Ireland, European Literature, Irish Literature",-0.20274051904409468,-1.1695396037832049,0.9937515529603136
1732,A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane","Classics, Fiction, Literature, European Literature, Irish Literature",0.19079009581843898,-1.393373471222627,0.9635663649233095
1605,Dubliners,"James Joyce, Terence Brown, Colum McCann, Roman Muradov","Classics, Fiction, Short Stories, Literature, Cultural, Ireland, European Literature, Irish Literature",0.15421157909130262,-0.4607323568917023,0.9014174663894974
21029,Eveline,James Joyce,"Short Stories, Classics, Fiction, Academic, School, Cultural, Ireland, European Literature, Irish Literature",-0.2408778126775781,-1.505290404942337,0.8856827389652686
11504,Elmer Gantry,Sinclair Lewis,"Fiction, Classics, Religion, Literature, Literature, American, Novels",-0.22791144537891686,0.024241022560379646,0.41474981715385884
8388,The Last Temptation of Christ,"Nikos Kazantzakis, Nikos Kazantzakis, Peter A. Bien","Fiction, Religion, Classics, Literature, Historical, Historical Fiction",-0.20349842059755666,0.6211313357321718,0.41306808109367693
9186,Tropic of Capricorn,Henry Miller,"Fiction, Classics, Literature, Novels",-0.1876489020285091,-0.4980380014649386,0.39652149732449854
1199,The Sound and the Fury,William Faulkner,"Classics, Fiction, Literature, Literature, American, Novels, Literature, 20th Century, American, Southern, Academic, School, Gothic, Southern Gothic, Literary Fiction",0.3143671161231253,-0.4607323568917023,0.39336996602602164
5790,Sometimes a Great Notion,"Ken Kesey, Charles Bowden","Fiction, Classics, Literature, Novels",-0.17536620881157894,0.9941877814645405,0.3870018622061938
2625,Tropic Of Cancer,Henry Miller,"Fiction, Classics, Literature, Novels",-0.03238065800380454,-1.0203170254902567,0.3821495690447791
522,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim","Fiction, Classics, Philosophy, Literature, Novels",0.8418079966970821,0.3972974682927481,0.37988528697120916
22253,The Man Without Qualities: Vol. 2,"Robert Musil, Sophie Wilkins, Burton Pike","Fiction, Literature, Classics, European Literature, German Literature",-0.2416239941039247,1.4791611609166206,0.3794685658942357
20680,Remembering,Wendell Berry,"Fiction, Novels, Literature",-0.2416552477762324,-0.05037026658609438,0.37747522330276023
855,Stoner,"John  Williams, John McGahern","Fiction, Classics, Literature, Novels",0.029134382515846168,1.1434103597574885,0.37731769973678725
2845,The Dharma Bums,Jack Kerouac,"Fiction, Classics, Literature, Novels",0.03764319480162029,-0.16228720030580626,0.3733722469671624
11578,Laddie: A True Blue Story,Gene Stratton-Porter,"Classics, Fiction, Historical, Historical Fiction, Young Adult",-0.23069302221430305,0.919576492318068,0.3714382939233529
11042,خرمگس,"Ethel Lilian Voynich, خسرو همایون‌پور, J.M. Gaffney","Classics, Fiction, Novels, Literature",-0.21691796614467976,0.658436980305408,0.37064655915582945
15581,The Man With the Golden Arm,"Nelson Algren, William J. Savage Jr., Daniel Simon, Kurt Vonnegut, Studs Terkel","Fiction, Classics",-0.2358029976366137,-0.3488154231719905,0.3705367932949011
11049,The Gadfly,Ethel Lilian Voynich,"Classics, Fiction, Novels, Literature",-0.2169140594356413,0.658436980305408,0.36912939646361276
1381,The Heart Is a Lonely Hunter,Carson McCullers,"Fiction, Classics, Literature",0.07575314147183447,-0.05037026658609438,0.36392623277338115
927,Infinite Jest,David Foster Wallace,"Fiction, Classics, Abandoned, Literature, Novels",0.003732960347754661,1.1807160043307243,0.36258453600962337
13876,Point Counter Point,Aldous Huxley,"Fiction, Classics, Literature, Novels",-0.20730746191005886,-0.4980380014649386,0.3612906830457312
